"date";"cases";"deaths";"new_cases";"new_deaths"
2020-01-23;0;0;0;0
2020-01-24;0;0;0;0
2020-01-25;0;0;0;0
2020-01-26;0;0;0;0
2020-01-27;0;0;0;0
2020-01-28;0;0;0;0
2020-01-29;0;0;0;0
2020-01-30;0;0;0;0
2020-01-31;0;0;0;0
2020-02-01;0;0;0;0
2020-02-02;0;0;0;0
2020-02-03;0;0;0;0
2020-02-04;0;0;0;0
2020-02-05;0;0;0;0
2020-02-06;0;0;0;0
2020-02-07;0;0;0;0
2020-02-08;0;0;0;0
2020-02-09;0;0;0;0
2020-02-10;0;0;0;0
2020-02-11;0;0;0;0
2020-02-12;0;0;0;0
2020-02-13;0;0;0;0
2020-02-14;0;0;0;0
2020-02-15;0;0;0;0
2020-02-16;0;0;0;0
2020-02-17;0;0;0;0
2020-02-18;0;0;0;0
2020-02-19;0;0;0;0
2020-02-20;0;0;0;0
2020-02-21;0;0;0;0
2020-02-22;0;0;0;0
2020-02-23;0;0;0;0
2020-02-24;0;0;0;0
2020-02-25;0;0;0;0
2020-02-26;0;0;0;0
2020-02-27;0;0;0;0
2020-02-28;0;0;0;0
2020-02-29;0;0;0;0
2020-03-01;0;0;0;0
2020-03-02;0;0;0;0
2020-03-03;1;0;1;0
2020-03-04;1;0;0;0
2020-03-05;1;0;0;0
2020-03-06;2;0;1;0
2020-03-07;8;0;6;0
2020-03-08;12;1;4;1
2020-03-09;12;1;0;0
2020-03-10;17;1;5;0
2020-03-11;19;1;2;0
2020-03-12;19;1;0;0
2020-03-13;31;2;12;1
2020-03-14;34;2;3;0
2020-03-15;45;2;11;0
2020-03-16;56;2;11;0
2020-03-17;68;2;12;0
2020-03-18;79;2;11;0
2020-03-19;97;3;18;1
2020-03-20;128;3;31;0
2020-03-21;158;4;30;1
2020-03-22;266;4;108;0
2020-03-23;301;4;35;0
2020-03-24;387;6;86;2
2020-03-25;387;8;0;2
2020-03-26;502;9;115;1
2020-03-27;589;13;87;4
2020-03-28;690;18;101;5
2020-03-29;745;19;55;1
2020-03-30;820;23;75;4
2020-03-31;1054;27;234;4
2020-04-01;1054;28;0;1
2020-04-02;1133;36;79;8
2020-04-03;1265;39;132;3
2020-04-04;1451;43;186;4
2020-04-05;1451;44;0;1
2020-04-06;1554;48;103;4
2020-04-07;1628;56;74;8
2020-04-08;1715;63;87;7
2020-04-09;1795;72;80;9
2020-04-10;1975;82;180;10
2020-04-11;1975;83;0;1
2020-04-12;2142;90;167;7
2020-04-13;2208;97;66;7
2020-04-14;2277;102;69;5
2020-04-15;2443;111;166;9
2020-04-16;2571;115;128;4
2020-04-17;2669;123;98;8
2020-04-18;2758;129;89;6
2020-04-19;2839;132;81;3
2020-04-20;2941;136;102;4
2020-04-21;3031;147;90;11
2020-04-22;3144;152;113;5
2020-04-23;3435;165;291;13
2020-04-24;3607;176;172;11
2020-04-25;3780;185;173;9
2020-04-26;3892;192;112;7
2020-04-27;4003;197;111;5
2020-04-28;4127;207;124;10
2020-04-29;4285;214;158;7
2020-04-30;4428;218;143;4
2020-05-01;4532;225;104;7
2020-05-02;4681;237;149;12
2020-05-03;4783;246;102;9
2020-05-04;4887;260;104;14
2020-05-05;5020;264;133;4
2020-05-06;5208;273;188;9
2020-05-07;5371;282;163;9
2020-05-08;5611;293;240;11
2020-05-09;5776;300;165;7
2020-05-10;6034;305;258;5
2020-05-11;6278;314;244;9
2020-05-12;6563;319;285;5
2020-05-13;6879;329;316;10
2020-05-14;7134;353;255;24
2020-05-15;7479;356;345;3
2020-05-16;7805;363;326;7
2020-05-17;8068;373;263;10
2020-05-18;8371;382;303;9
2020-05-19;8809;393;438;11
2020-05-20;9283;403;474;10
2020-05-21;9931;416;648;13
2020-05-22;10649;433;718;17
2020-05-23;11353;445;704;12
2020-05-24;12076;452;723;7
2020-05-25;12628;467;552;15
2020-05-26;13228;484;600;17
2020-05-27;13933;500;705;16
2020-05-28;14702;508;769;8
2020-05-29;15419;520;717;12
2020-05-30;16214;528;795;8
2020-05-31;16851;539;637;11
2020-06-01;17415;556;564;17
2020-06-02;18319;569;904;13
2020-06-03;19268;583;949;14
2020-06-04;20197;608;929;25
2020-06-05;21037;632;840;24
2020-06-06;22020;648;983;16
2020-06-07;22794;664;774;16
2020-06-08;23620;693;826;29
2020-06-09;24761;717;1141;24
2020-06-10;25987;735;1226;18
2020-06-11;27373;765;1386;30
2020-06-12;28764;785;1391;20
2020-06-13;30295;815;1531;30
2020-06-14;31577;833;1282;18
2020-06-15;32785;854;1208;21
2020-06-16;34159;878;1374;24
2020-06-17;35552;913;1393;35
2020-06-18;37510;948;1958;35
2020-06-19;39570;979;2060;31
2020-06-20;41204;992;1634;13
2020-06-21;42785;1011;1581;19
2020-06-22;44931;1043;2146;32
2020-06-23;47203;1078;2272;35
2020-06-24;49851;1116;2648;38
2020-06-25;52457;1150;2606;34
2020-06-26;55343;1184;2886;34
2020-06-27;57744;1207;2401;23
2020-06-28;59933;1232;2189;25
2020-06-29;62268;1280;2335;48
